category_id,count
24,9964
10,6472
,6292
26,4146
23,3457
22,3210
25,2487
28,2401
1,2345
17,2174
27,1656
15,920
20,817
19,402
2,384
dining destinations,151
places,145
celebrity style,140
politics and more. In that tradition,62
videos,58
29,57
43,57
and videos from beauty experts.,40
informed reporting of everything from wars and elections to championship games and royal weddings. AP is the largest and most trusted source of independent news and information.,39
travel,39
fashion,32
to kimchi and miso,28
"and restaurant menus from the world’s largest food archive.Chocolate Expert Guesses Cheap vs. Expensive Chocolate | Price Points | Epicurious\"",20
"and restaurant menus from the world’s largest food archive.\\n\\nMeat Expert Guesses Cheap vs Expensive Deli Meats | Price Points | Epicurious\"",15
"and videos for women who want to achieve their personal best in life. \\n\\nFrancia Raisa Explains How She Became Selena Gomez's Kidney Donor | Body Stories | SELF\"",12
moisturizers,9
plucked from a bedroom side table. Anything to get the job done—because as the legendary Chaka Khan knows,9
hairstyles,8
even Lara can’t understand what drives her to finally solve the puzzle of his mysterious death.,7
Daniel Wu (AMC’s “Into the Badlands”) and Oscar nominee Kristin Scott Thomas (“The English Patient”).,7
blind faith and inherently stubborn spirit—must learn to push herself beyond her limits as she journeys into the unknown.  If she survives this perilous adventure,7
"and in select territories by MGM.\"",7
cencioni,7
with Oscar-winner Graham King (“The Departed”) producing under his GK Films banner.  The executive producers are Patrick McCormick,7
"and restaurant menus from the world’s largest food archive.\\n\\n50 People Try to Cut Pineapple Rings | Epicurious\"",7
"and restaurant menus from the world’s largest food archive.Knife Expert Guesses Cheap vs. Expensive Knives | Price Points | Epicurious\"",7
how to do a 540° McTwist and more.,6
artist,5
scandals and arrests,5
no I'm not a lesbian,4
Dalessandro’s,4
John Goodman,3
"and restaurant menus from the world’s largest food archive.\\n\\nCheese Expert Guesses Cheap vs Expensive Cheeses | Epicurious\"",2
because we are always doing something new. Whether it's home science experiments for kids,2
created RokShok the world’s first mobile phone case that conceals an engagement ring.,1
"and restaurant menus from the world’s largest food archive.\\n\\nChocolate Expert Guesses Cheap vs. Expensive Chocolate | Price Points | Epicurious\"",1
